Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Location_0,Location_1,Location_2,Location_3,Location_4,WindGustDir_0,WindGustDir_1,WindGustDir_2,WindGustDir_3,WindGustDir_4,WindDir9am_0,WindDir9am_1,WindDir9am_2,WindDir9am_3,WindDir9am_4,WindDir3pm_0,WindDir3pm_1,WindDir3pm_2,WindDir3pm_3,WindDir3pm_4
0,1,21.4,37.5,0.0,14.8,6.9,43.0,26.0,9.0,34.0,29.0,1013.1,1009.6,7.0,6.0,26.2,34.1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0
1,1,21.8,30.7,0.0,8.0,5.9,56.0,24.0,19.0,71.0,63.0,1008.6,1006.2,7.0,7.0,24.4,27.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
2,1,20.3,36.0,18.0,8.2,10.5,94.0,13.0,7.0,89.0,50.0,1008.6,1006.7,7.0,4.0,24.7,33.4,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1
3,2,23.6,40.4,0.6,11.8,12.2,54.0,9.0,11.0,42.0,17.0,1008.4,1005.0,1.0,2.0,29.9,38.7,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1
4,2,16.8,23.3,0.6,8.0,2.3,63.0,35.0,35.0,66.0,53.0,1013.8,1012.2,7.0,7.0,18.5,22.4,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0
5,2,16.1,19.1,26.0,6.6,0.0,54.0,28.0,19.0,81.0,93.0,1014.3,1013.2,7.0,7.0,17.1,17.0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1
6,2,17.4,19.7,0.0,6.0,0.0,48.0,19.0,20.0,65.0,97.0,1011.2,1010.7,7.0,7.0,19.2,17.1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1
7,2,15.9,20.8,32.6,3.0,0.3,44.0,15.0,19.0,94.0,77.0,1011.9,1010.2,8.0,7.0,16.6,20.6,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1
8,2,21.9,35.1,0.0,9.0,10.2,43.0,22.0,24.0,53.0,30.0,1012.8,1010.4,3.0,4.0,25.9,34.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
9,3,21.6,32.2,0.0,11.2,5.8,48.0,28.0,20.0,54.0,35.0,1016.2,1013.2,6.0,5.0,23.9,31.2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
